date,code,name,action,price,shares,amount,commission,stamp_tax,total_cost,reason,entry_prediction,data_source,source,analysis_summary
20260522,301075,澶氱憺鍖昏嵂,BUY,86.04,1100,-94644.00,23.66,0,-94667.66,寮€浠揰鐪嬪_棰勮鍏虫敞,鐪嬪,[1],auto,
20260522,601689,鎷撴櫘闆嗗洟,BUY,72.07,1200,-86484.00,21.62,0,-86505.62,寮€浠揰鐪嬪_鍋ュ悍,鐪嬪,[1],auto,
20260522,600114,涓滅潶鑲′唤,BUY,35.19,2300,-80937.00,20.23,0,-80957.23,寮€浠揰鐪嬪_鍋ュ悍,鐪嬪,[1],auto,
20260525,600114,涓滅潶鑲′唤,SELL_HALF,37.75,1100,41525.00,10.38,41.53,41473.09,姝㈢泩鍑忎粨_R2,鐪嬪,[1],auto,
20260526,600114,涓滅潶鑲′唤,SELL,39.26,1200,47112,11.78,47.11,47053.11,全部止盈_R3,鐪嬪,[评估数据],auto,
20260526,301075,澶氱憺鍖昏嵂,SELL,76.38,1100,84018,21.00,84.02,83912.98,止损_StopLoss,鐪嬪,[评估数据],auto,
20260526,603019,中科曙光,BUY,94.42,900,-84978.00,21.24,0,-84999.24,开仓_偏多_警戒,偏多,[评估数据],auto,
